交易所,合约,合约名称,品种,合约乘数,开仓费率,开仓费/手,平仓费率,平仓费/手,平今仓费率,平今仓费/手,最新价,成交量,空盘量,1手开仓手续费,1手平仓手续费,1手平今仓手续费,做多保证金率,做多保证金/手,做空保证金率,做空保证金/手,做多1手保证金,做空1手保证金,最小跳动价位,1Tick盈亏
SHFE,fu2310,fu2310,fu,10,0.000010,0.0,0.000010,0.0,0.000000,0.0,3844.0000000000005,11030,12398.0,0.38440000000000013,0.38440000000000013,0.0,0.16999999999999998,0.0,0.16999999999999998,0.0,6534.800000000001,6534.800000000001,1.0,10.0
DCE,p2310,棕榈油2310,p,10,0.000000,2.5,0.000000,2.5,0.000000,1.25,7140.0,909,3327.0,2.5,2.5,1.25,0.16999999999999998,0.0,0.16999999999999998,0.0,12137.999999999998,12137.999999999998,2.0,20.0
CZCE,SM310,锰硅10月,SM,5,0.000000,3.0,0.000000,3.0,0.000000,0.0,6982.0,5175,14103.0,3.0,3.0,0.0,0.2,0.0,0.2,0.0,6982.0,6982.0,2.0,10.0
INE,nr2310,nr2310,nr,10,0.000000,10.0,0.000000,10.0,0.000000,10.0,10825.000000000002,1184,4502.0,10.0,10.0,10.0,0.16999999999999998,0.0,0.16999999999999998,0.0,18402.5,18402.5,5.0,50.0
SHFE,pb2310,pb2310,pb,5,0.000040,0.0,0.000040,0.0,0.000000,0.0,16955.0,66970,73925.0,3.3910000000000005,3.3910000000000005,0.0,0.16,0.0,0.16,0.0,13564.0,13564.0,5.0,25.0
DCE,rr2310,粳米2310,rr,10,0.000000,4.0,0.000000,4.0,0.000000,4.0,3645.0,1538,4967.0,4.0,4.0,4.0,0.12,0.0,0.12,0.0,4374.0,4374.0,1.0,10.0
CZCE,SA310,纯碱10月,SA,20,0.000200,0.0,0.000200,0.0,0.000200,0.0,2738.0,28908,38499.0,10.952,10.952,10.952,0.16,0.0,0.16,0.0,8761.6,8761.6,1.0,20.0
CZCE,CY310,棉纱10月,CY,5,0.000000,4.0,0.000000,4.0,0.000000,0.0,23350.0,0,4.0,4.0,4.0,0.0,0.25,0.0,0.25,0.0,29187.5,29187.5,5.0,25.0
CZCE,TA310,PTA10月,TA,5,0.000000,4.0,0.000000,4.0,0.000000,4.0,6252.0,28962,63829.0,4.0,4.0,4.0,0.13999999999999999,0.0,0.13999999999999999,0.0,4376.4,4376.4,2.0,10.0
SHFE,sn2310,sn2310,sn,1,0.000000,1.0,0.000000,1.0,0.000000,0.0,222320.00000000003,79711,18722.0,1.0,1.0,0.0,0.2,0.0,0.2,0.0,44464.00000000001,44464.00000000001,10.0,10.0
CZCE,SF310,硅铁10月,SF,5,0.000000,3.0,0.000000,3.0,0.000000,0.0,7344.0,4133,18501.0,3.0,3.0,0.0,0.2,0.0,0.2,0.0,7344.0,7344.0,2.0,10.0
SHFE,au2310,au2310,au,1000,0.000000,2.0,0.000000,2.0,0.000000,0.0,471.44000000000005,12381,26208.0,2.0,2.0,0.0,0.13999999999999999,0.0,0.13999999999999999,0.0,66001.6,66001.6,0.02,20.0
SHFE,bu2409,bu2409,bu,10,0.000100,0.0,0.000100,0.0,0.000100,0.0,3682.0000000000005,22,1171.0,3.682000000000001,3.682000000000001,3.682000000000001,0.16999999999999998,0.0,0.16999999999999998,0.0,6259.400000000001,6259.400000000001,1.0,10.0
SHFE,bu2310,bu2310,bu,10,0.000100,0.0,0.000100,0.0,0.000100,0.0,3880.0000000000005,15837,19078.0,3.880000000000001,3.880000000000001,3.880000000000001,0.16999999999999998,0.0,0.16999999999999998,0.0,6596.000000000001,6596.000000000001,1.0,10.0
DCE,j2310,焦炭2310,j,100,0.000060,0.0,0.000060,0.0,0.000060,0.0,2437.5,20,136.0,14.625000000000002,14.625000000000002,14.625000000000002,0.26,0.0,0.26,0.0,63375.0,63375.0,0.5,50.0
CZCE,PK310,花生10月,PK,5,0.000000,4.0,0.000000,4.0,0.000000,4.0,10652.0,3148,23048.0,4.0,4.0,4.0,0.13999999999999999,0.0,0.13999999999999999,0.0,7456.4,7456.4,2.0,10.0
SHFE,al2310,al2310,al,5,0.000000,3.0,0.000000,3.0,0.000000,0.0,19425.0,164804,212072.0,3.0,3.0,0.0,0.16,0.0,0.16,0.0,15540.0,15540.0,5.0,25.0
